index,source,source link,hosted link,screenshot link
1,MichaelCoudrey,https://twitter.com/MichaelCoudrey/status/1309304652832231425 ,https://res.cloudinary.com/memeticinfluence/image/upload/v1601416947/joe-biden-earpiece/1.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1601416961/joe-biden-earpiece/1_screenshot.png
2,jameshrutter,https://twitter.com/jameshrutter/status/1309307916936196096 ,https://res.cloudinary.com/memeticinfluence/image/upload/v1601416947/joe-biden-earpiece/2.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1601416980/joe-biden-earpiece/2_screenshot.png
3,jdlamacc,https://twitter.com/jameshrutter/status/1309307916936196096 ,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417004/joe-biden-earpiece/3.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417000/joe-biden-earpiece/3_screenshot.png
4,DrEtiquette,https://twitter.com/DrEtiquette/status/1310976120427339777 ,https://res.cloudinary.com/memeticinfluence/video/upload/v1601417008/joe-biden-earpiece/4_video.mp4,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417022/joe-biden-earpiece/4_screenshot.png
5,PFloorsLLC,https://twitter.com/PFloorsLLC/status/1310777263261184000 ,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417013/joe-biden-earpiece/5.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417041/joe-biden-earpiece/5_screenshot.png
6,GlobalTeam100,https://twitter.com/GlobalTeam100/status/1310773061285797888 ,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417027/joe-biden-earpiece/6.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417046/joe-biden-earpiece/6_screenshot.png
7,NadineV44,https://twitter.com/NadineV44/status/1311005539770359808 ,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417030/joe-biden-earpiece/7.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417060/joe-biden-earpiece/7_screenshot.png
8,posonaut,https://twitter.com/posonaut/status/1309493421615259648 ,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417034/joe-biden-earpiece/8.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417063/joe-biden-earpiece/8_screenshot.png
9,biddymonger,https://twitter.com/biddymonger/status/1311019168074924033 ,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417039/joe-biden-earpiece/9.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417052/joe-biden-earpiece/9_screenshot.png
10,MatrixBreakerQ,https://twitter.com/MatrixBreakerQ/status/1311008154704961536 ,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417046/joe-biden-earpiece/10.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417062/joe-biden-earpiece/10_screenshot.png
11,oneunderscore_,https://twitter.com/oneunderscore__/status/1311008457894629376 ,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417052/joe-biden-earpiece/11.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417074/joe-biden-earpiece/11_screenshot.png
12,oneunderscore_,https://twitter.com/oneunderscore__/status/1311009931772997634 ,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417064/joe-biden-earpiece/12.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417075/joe-biden-earpiece/12_screenshot.png
13,oneunderscore_,https://twitter.com/oneunderscore__/status/1311012676550774784 ,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417060/joe-biden-earpiece/13.1.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417059/joe-biden-earpiece/13_screenshot.png
,,,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417061/joe-biden-earpiece/13.2.jpg,
,,,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417062/joe-biden-earpiece/13.3.jpg,
,,,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417063/joe-biden-earpiece/13.4.jpg,
14,ChrisHarihar,https://twitter.com/ChrisHarihar/status/1311011074632757248 ,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417065/joe-biden-earpiece/14.png,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417067/joe-biden-earpiece/14_screenshot.png
15,Tonydamouse,https://twitter.com/Tonydamouse/status/1311023847869747200 ,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417067/joe-biden-earpiece/15.png,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417075/joe-biden-earpiece/15_screenshot.png
16,RatiuonalDis,https://twitter.com/RationalDis/status/1311027307025444866 ,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417074/joe-biden-earpiece/16.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417082/joe-biden-earpiece/16_screenshot.png
17,Ash_Oleary,https://twitter.com/Ash_OLeary/status/1311025791552163840 ,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417072/joe-biden-earpiece/17.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417086/joe-biden-earpiece/17_screenshot.png
18,DCRobMan,https://twitter.com/DCRobMan/status/1311049289003667458 ,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417078/joe-biden-earpiece/18.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417098/joe-biden-earpiece/18_screenshot.png
19,daveweigel,https://twitter.com/daveweigel/status/1311008165853573120 ,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417077/joe-biden-earpiece/19.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417082/joe-biden-earpiece/19_screenshot.png
20,bradoetheyounger,https://www.instagram.com/p/CFulWFAAurK/ ,,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417133/joe-biden-earpiece/20.1_screenshot.png
,,,,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417134/joe-biden-earpiece/20.2_screenshot.png
21,pureblissliving,https://www.instagram.com/p/CFkVKfajM8Y/ ,,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417112/joe-biden-earpiece/21_screenshot.png
22,empressofrighteousness,https://www.instagram.com/p/CArZOqrBh9z/ ,,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417138/joe-biden-earpiece/22_screenshot.png
23,browhyyustillasleep,https://www.instagram.com/p/CBbBlz7guuH/ ,,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417149/joe-biden-earpiece/23_screenshot.png
24,exsocialists_for_trump,https://www.instagram.com/p/CFuloxMgITw/?igshid=19fjgl51p3pm1 ,,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417137/joe-biden-earpiece/24.1_screenshot.png
,,,,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417141/joe-biden-earpiece/24.2_screenshot.png
,,,,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417162/joe-biden-earpiece/24.3_screenshot.png
25,kristenhinkson,https://www.tiktok.com/@kristenhinkson/video/6875657222018370822?_d=secCgsIARCbDRgBIAIoARI%2BCjxqlV17b3hEHmvqFhFkEkY4ygIDAC9JtKfIv%2Ftgi%2Frybqy79fZuFC0OX%2BvRCi2Bzu3dGN7PbG0IIJhHKt4aAA%3D%3D&language=en&preview_pb=0&sec_user_id=MS4wLjABAAAAa4smdPcFGJBYlxZQz3CRZ_4UK7W2xcUS7CmlHIjBmoIlzmw4rbLrEj44Oq9mXlaq&share_item_id=6875657222018370822&share_link_id=39E625D3-487A-4248-A792-06F0A94A64E7&timestamp=1601415903&tt_from=copy&u_code=d79md12b8d2dde&user_id=6715385249054934021&utm_campaign=client_share&utm_medium=ios&utm_source=copy&source=h5_m,https://res.cloudinary.com/memeticinfluence/video/upload/v1601417156/joe-biden-earpiece/25_video.mp4,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417158/joe-biden-earpiece/25_screenshot.jpg
26,hgc021,https://vm.tiktok.com/ZMJyD4Yak/ ,https://res.cloudinary.com/memeticinfluence/video/upload/v1601417035/joe-biden-earpiece/26_video.mp4,https://res.cloudinary.com/memeticinfluence/image/upload/v1601416991/joe-biden-earpiece/26_screenshot.jpg
27,becksgirl2020,https://vm.tiktok.com/ZMJyDbyTa/ ,https://res.cloudinary.com/memeticinfluence/video/upload/v1601416968/joe-biden-earpiece/27_video.mp4,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417001/joe-biden-earpiece/27_screenshot.jpg
28,robyoung84,https://vm.tiktok.com/ZMJyULHpU/ ,https://res.cloudinary.com/memeticinfluence/video/upload/v1601416977/joe-biden-earpiece/28_video.mp4,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417008/joe-biden-earpiece/28_screenshot.jpg
29,hwebb5454,https://vm.tiktok.com/ZMJyUjU3Y/ ,https://res.cloudinary.com/memeticinfluence/video/upload/v1601417029/joe-biden-earpiece/29_video.mp4,https://res.cloudinary.com/memeticinfluence/image/upload/v1601417035/joe-biden-earpiece/29_screenshot.jpg
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,brought to you by memetic influence,,,
,datasets@memeticinfluence.com,,,
